"state","utility_name","energy_type","ownership_eep_determined","parent"
"TX","Castroville City of - TX","gas","Municipal",NA
"MN","Community Util Co - MN","gas","Investor Owned",NA
"KS","Cheney City of - KS","gas","Municipal",NA
"LA","Jena Town of - LA","gas","Municipal",NA
"MO","Unionville Municipal Natural Gas Sys - MO","gas","Municipal",NA
"MN","Agrinatural Gas Llc - MN","gas","Investor Owned","Granite Falls Energy, LLC"
"MN","Warren City of - MN","gas","Municipal",NA
"IN","Valley Rural Utility Co - IN","gas","Cooperative",NA
"KY","Bluegrass Gas Sales Inc - KY","gas","Investor Owned",NA
"IL","Greenup Village of - IL","gas","Municipal",NA
"MO","City of Stanberry - (MO)","electric","Municipal",NA
"LA","Hornbeck Town of - LA","gas","Municipal",NA
"OK","Haskell Public Works Authority - OK","gas","Municipal",NA
"AL","Sumiton Town of - AL","gas","Municipal",NA
"TX","Pearsall City of - TX","gas","Municipal",NA
"TX","New Summerfield City of - TX","gas","Municipal",NA
"TX","Sunray Util City of - TX","gas","Municipal",NA
"MO","Potosi City of - MO","gas","Municipal",NA
"AL","Dadeville Gas Board - AL","gas","Municipal",NA
"NE","City of Pender - (NE)","electric","Municipal",NA
"MO","Montgomery City Gas Co - MO","gas","Municipal",NA
"MO","Waynesville Town of - MO","gas","Municipal",NA
"MO","Middletown Mun Gas System - MO","gas","Municipal",NA
"IA","City of Brooklyn - (IA)","electric","Municipal",NA
"WV","Welch Gas Co Op - WV","gas","Cooperative",NA
"MS","Shannon Town of - MS","gas","Municipal",NA
"IA","City of Manning - (IA)","electric","Municipal",NA
"NE","City of Stromsburg - (NE)","electric","Municipal",NA
"MO","Albany Mun Gas Sys - MO","gas","Municipal",NA
"KS","City of Burlingame - (KS)","electric","Municipal",NA
"IN","Osgood Mun Sys - IN","gas","Municipal",NA
"TX","Alto City of - TX","gas","Municipal",NA
"IL","Waverly Util Dept - IL","gas","Municipal",NA
"LA","Grand Isle Town of - LA","gas","Municipal",NA
"LA","Woodworth Town of - LA","gas","Municipal",NA
"IA","Guthrie Ctr Municipal Utilities - IA","gas","Municipal",NA
"GA","Wrens City of - GA","gas","Municipal",NA
"WV","Canaan Valley Gas Company - WY","gas","Investor Owned",NA
"IA","Bedford City Natural Gas - IA","gas","Municipal",NA
"TX","Morton City of - TX","gas","Municipal",NA
"IA","Montezuma Natural Gas Dept - IA","gas","Municipal",NA
"IL","Milford Village of - IL","gas","Municipal",NA
"FL","Starke City of - FL","gas","Municipal",NA
"AL","Dora Gas BD - AL","gas","Municipal",NA
"LA","Town of Arnaudville - LA","gas","Municipal",NA
"OH","Deshler Municipal Utilities - OH","gas","Municipal",NA
"GA","Hawkinsville Natural Gas System City - GA","gas","Municipal",NA
"FL","Williston City of - FL","gas","Municipal",NA
"IA","Lake Park - IA","gas","Municipal",NA
"IA","Lamoni Mun Util - IA","gas","Municipal",NA
"LA","Town of Gueydan","electric","Municipal",NA
"IA","City of Sanborn - (IA)","electric","Municipal",NA
"LA","Jonesville Town of - LA","gas","Municipal",NA
"MO","Granby City of - MO","gas","Municipal",NA
"AL","Roanoke Utility Board - AL","gas","Municipal",NA
"IL","Toldedo Village of - IL","gas","Municipal",NA
"OK","Jay Utilities Authority - OK","gas","Municipal",NA
"FL","Defuniak Springs City of - FL","gas","Municipal",NA
"MN","City of Lake Park - (MN)","electric","Municipal",NA
"TX","Carrizo Springs City of - TX","gas","Municipal",NA
"FL","Madison City of - FL","gas","Municipal",NA
"IL","Village of Bethany - (IL)","electric","Municipal",NA
"OK","Minco Gas Auth - OK","gas","Municipal",NA
"MN","Eagle Bendclarissa Gas Util - MN","gas","Municipal",NA
"OH","Ohio Valley Gas Corp - IN","gas","Investor Owned",NA
"TX","Big Lake City of - TX","gas","Municipal",NA
"TN","Waynesboro City of - TN","gas","Municipal",NA
"CA","Pittsburg Power Company","electric","Municipal",NA
"KY","Navitas Utility Corp - KY","gas","Investor Owned",NA
"MN","Paul Bunyan Natural Gas Llc - MN","gas","Investor Owned",NA
"IL","Norris City Village of - IL","gas","Municipal",NA
"TN","Nat Gas Util Dist Hawkins Cty - TN","gas","Political Subdivision",NA
"MO","Shelbina City of - MO","gas","Municipal",NA
"OK","Kiefer Public Works Auth - OK","gas","Municipal",NA
"KY","Brooksville City of - KY","gas","Municipal",NA
"IA","City of Mapleton- (IA)","electric","Municipal",NA
"IL","Grayville City of - IL","gas","Municipal",NA
"TX","City of Winona - TX","gas","Municipal",NA
"NE","Pender Village of - NE","gas","Municipal",NA
"IL","Rossville Mun Gas Village of - IL","gas","Municipal",NA
"IL","Village of Crossville - IL","gas","Municipal",NA
"IA","Corning Municipal Utilities - IA","gas","Municipal",NA
"IA","Wellman Gas System - IA","gas","Municipal",NA
"IA","Coon Rapids Mun Util - IA","gas","Municipal",NA
"KS","City of Alma - (KS)","electric","Municipal",NA
"GA","Louisville City of - GA","gas","Municipal",NA
"UT","Mona City - UT","gas","Municipal",NA
"IL","Bethany Village of - IL","gas","Municipal",NA
"MN","City of Tyler - (MN)","electric","Municipal",NA
"KY","Olive Hill City Of","gas","Municipal",NA
"TN","South Fulton City of - TN","gas","Municipal",NA
"IL","Vienna Municipal Gas System - IL","gas","Municipal",NA
"MN","City of Henning - (MN)","electric","Municipal",NA
"OK","City of Granite - (OK)","electric","Municipal",NA
"GA","Bainbridge City of - GA","gas","Municipal",NA
"IA","Brooklyn Municipal Utilities - IA","gas","Municipal",NA
"LA","Maringouin Town Of","gas","Municipal",NA
"LA","Waynesboro City of - Ga","gas","Municipal",NA
"OK","City of Yale - (OK)","electric","Municipal",NA
"MO","Stanberry City of - MO","gas","Municipal",NA
"KY","Bardwell Nat Gas - KY","gas","Municipal",NA
"TX","City of Hemphill - (TX)","electric","Municipal",NA
"IA","Sanborn Municipal Gas Utility - IA","gas","Municipal",NA
"IA","City of Lake Park - (IA)","electric","Municipal",NA
"AR","North Crossett Utilities Gas & Water - AR","gas","Municipal",NA
"IL","Jonesboro City of - IL","gas","Municipal",NA
"LA","Sunset Town of - LA","gas","Municipal",NA
"AL","Bridgeport Util BD - AL","gas","Municipal",NA
"MO","New Haven City Natural Gas System - MO","gas","Municipal",NA
"KS","City of Altamont - (KS)","electric","Municipal",NA
"NC","Toccoa Natural Gas System - GA","gas","Municipal",NA
"TX","Eldorado City of - TX","gas","Municipal",NA
"TX","Huntington City of - TX","gas","Municipal",NA
"IL","Findlay Village of - IL","gas","Municipal",NA
"IA","City of Fairbank - (IA)","electric","Municipal",NA
"TX","Appleby Natural Gas - TX","gas","Municipal",NA
"IA","Wayland Mun Gas Sys - IA","gas","Municipal",NA
"FL","Blountstown City of - FL","gas","Municipal",NA
"KS","Burlingame City of - KS","gas","Municipal",NA
"IA","Lenox Gas System - IA","gas","Municipal",NA
"TN","Mason Natural Gas - TN","gas","Municipal",NA
"MS","Duck Hill Nat Gas Sys - MS","gas","Municipal",NA
"NE","Wisner City of - NE","gas","Municipal",NA
"MO","Princeton Municipal Natural Gas Sys - MO","gas","Municipal",NA
"NE","Stromsburg City of - NE","gas","Municipal",NA
"IL","Edinburg Mun Gas System - IL","gas","Municipal",NA
"KY","Citipower Llc - KY","gas","Municipal",NA
"KS","Altamont City of - KS","gas","Municipal",NA
"MN","New York Mills Mun Gas Sys - MN","gas","Municipal",NA
"OH","Mccomb Natural Gas - OH","gas","Municipal",NA
"TN","Poplar Grove Util Dist - TN","gas","Political Subdivision",NA
"MD","UGI Utilities, Inc","gas","Investor Owned",NA
"IL","Martinsville City of - IL","gas","Municipal",NA
"KY","Clay City Of","gas","Municipal",NA
"IL","Bluford Gas - IL","gas","Municipal",NA
"LA","Gueydan Town of - LA","gas","Municipal",NA
"LA","Washington Parish Gud  2 - LA","gas","Municipal",NA
"MN","Tyler City of - MN","gas","Municipal",NA
"FL","Jasper City of - FL","gas","Municipal",NA
"KY","Carlisle City of - KY","gas","Municipal",NA
"MO","City of Perry - (MO)","electric","Municipal",NA
"KY","Clinton City of - KY","gas","Municipal",NA
"AL","Maplesville Ut BD - AL","gas","Municipal",NA
"IA","City of Alton","electric","Municipal",NA
"CO","Ignacio Town of - CO","gas","Municipal",NA
"MN","Goodhue City of - MN","gas","Municipal",NA
"OK","Fairfax Town of - OK","gas","Municipal",NA
"KY","Vanceburg Electric Plant Board of - KY","gas","Municipal",NA
"TN","Navitas Utility Corp - TN","gas","Investor Owned",NA
"MO","Paris City of - MO","gas","Municipal",NA
"IA","City of West Bend - (IA)","electric","Municipal",NA
"IA","Fairbank Municipal Gas - IA","gas","Municipal",NA
"LA","West Feliciano Parish Gud 1","gas","Municipal",NA
"NE","City of Stuart - (NE)","electric","Municipal",NA
"NE","City of Scribner - (NE)","electric","Municipal",NA
"NE","City of Lyons - (NE)","electric","Municipal",NA
"TX","Plains City of - TX","gas","Municipal",NA
"GA","Millen City of - GA","gas","Municipal",NA
"MN","United Natural Gas Llc - MN","gas","Cooperative",NA
"LA","Forest Hill Village of - LA","gas","Municipal",NA
"IA","Mapleton City of - IA","gas","Municipal",NA
"IA","Winfield Municipal Gas - IA","gas","Municipal",NA
"OK","Sperry Utility Services Auth - OK","gas","Municipal",NA
"IL","Stonington Village of - IL","gas","Municipal",NA
"IL","Village of Pleasant Hill - IL","gas","Municipal",NA
"IA","Alton Municipal Utilities - IA","gas","Municipal",NA
"NE","Alma Nat Gas Co City of - NE","gas","Municipal",NA
"KY","Valley Gas Inc - KY","gas","Investor Owned",NA
"IA","City of Wall Lake - (IA)","electric","Municipal",NA
"LA","Clinton Town of - LA","gas","Municipal",NA
"KY","Kevil City of - KY","gas","Municipal",NA
"LA","Morganza Village of - LA","gas","Municipal",NA
"LA","Jpc Energy Llc - LA","gas","Investor Owned",NA
"OK","Yale Water & Sewer Trust - OK","gas","Municipal",NA
"LA","Colfax Gas Dept - LA","gas","Municipal",NA
"MS","Tishomingo City Of","gas","Municipal",NA
"KY","Martin Gas Inc","gas","Investor Owned",NA
"OK","Granite Town of - OK","gas","Municipal",NA
"TN","Horton Hwy Util Dist - TN","gas","Political Subdivision",NA
"LA","Port Barre Town of - LA","gas","Municipal",NA
"KY","West Liberty Gas System - KY","gas","Municipal",NA
"NE","Lyons City of - NE","gas","Municipal",NA
"TX","Mclean City of - TX","gas","Municipal",NA
"MN","Lake Park Public Utilities - MN","gas","Municipal",NA
"MS","Waveland City of - MS","gas","Municipal",NA
"OH","Foraker Gas Co  Inc - OH","gas","Investor Owned",NA
"IA","City of Sabula - (IA)","electric","Municipal",NA
"MN","Hallock City of - MN","gas","Municipal",NA
"OK","City of Geary - (OK)","electric","Municipal",NA
"TX","Sundown City of - TX","gas","Municipal",NA
"IN","Montezuma Municipal Gas Utility - IN","gas","Municipal",NA
"FL","Havana Town of - FL","gas","Municipal",NA
"KY","City of Bardwell - (KY)","electric","Municipal",NA
"OK","Fairland Gas Auth - OK","gas","Municipal",NA
"MN","City of Morgan - MN","gas","Municipal",NA
"FL","Chattahoochee City of - FL","gas","Municipal",NA
"LA","Washington Town of - LA","gas","Municipal",NA
"KS","Spearville City of - KS","gas","Municipal",NA
"TN","Collinwood City of - TN","gas","Municipal",NA
"MO","City of Liberal - (MO)","electric","Municipal",NA
"IL","Louisville Village of - IL","gas","Municipal",NA
"KS","Mclouth City Of","gas","Municipal",NA
"IA","Graettinger Town of - IA","gas","Municipal",NA
"MN","City of Randall - (MN)","electric","Municipal",NA
"OH","The Swickard Gas Co - OH","gas","Investor Owned",NA
"IL","Shawneetown Municipal Gas - IL","gas","Municipal",NA
"IN","Poseyville Mun Gas Co - IN","gas","Municipal",NA
"OK","Geary Utility Authority - OK","gas","Municipal",NA
"PA","Leatherstocking Gas Company Llc - PA","gas","Investor Owned","Corning Energy Corporation (Apollo Global Management)"
"IA","Morning Sun Municipal Nat Gas Sys - IA","gas","Municipal",NA
"LA","Town of Boyce","electric","Municipal",NA
"KS","La Cygne Gas Company - KS","gas","Municipal",NA
"IL","New Boston Mun Gas Sys - IL","gas","Municipal",NA
"OK","Seiling Public Works Authority - OK","gas","Municipal",NA
"MO","Perry Municipal Gas System - MO","gas","Municipal",NA
"OK","Vici Pub Work Auth - OK","gas","Municipal",NA
"LA","Leonville Town of - LA","gas","Municipal",NA
"NE","Ponca Public Utilities - NE","gas","Municipal",NA
"IL","Cisne Village of - IL","gas","Municipal",NA
"LA","Delcambre Town of - LA","gas","Municipal",NA
"LA","Livonia Gas And Water - LA","gas","Municipal",NA
"TN","Obion Town of - TN","gas","Municipal",NA
"IL","Clay City Village of - IL","gas","Municipal",NA
"MS","Walnut Grove Town of - MS","gas","Municipal",NA
"MO","Bismarck City of - MO","gas","Municipal",NA
"NE","Stuart Gas Co - NE","gas","Municipal",NA
"LA","Jackson Town of - LA","gas","Municipal",NA
"KY","Liberty Gas Co - KY","gas","Investor Owned","Algonquin Power & Utilities Corp"
"AL","Vina Town of Natural Gas - AL","gas","Municipal",NA
"NE","Scribner Municipal Gas - NE","gas","Municipal",NA
"IA","West Bend Mun Gas - IA","gas","Municipal",NA
"IA","Wall Lake City of - IA","gas","Municipal",NA
"MN","Randall City of - MN","gas","Municipal",NA
"KY","Wickliffe City of - KY","gas","Municipal",NA
"IA","Everly Muncipal Utility - IA","gas","Municipal",NA
"KY","Lake Cumberland Gas Authority - KY","gas","Municipal",NA
"IL","Geff Village of - IL","gas","Municipal",NA
"TN","Clifton Gas Dept - TN","gas","Municipal",NA
"TX","T And L Gas Co - TX","gas","Investor Owned",NA
"IL","Cobden Mun Gas Sys - IL","gas","Municipal",NA
"KY","Arlington City of - KY","gas","Municipal",NA
"MO","City of Grant City Missouri - MO","gas","Municipal",NA
"LA","Montgomery Town of - LA","gas","Municipal",NA
"KY","La Center City of - KY","gas","Municipal",NA
"IA","Sabula City of - IA","gas","Municipal",NA
"LA","Town of Boyce - LA","gas","Municipal",NA
"MN","Argyle City of - MN","gas","Municipal",NA
"KS","Howard City of - KS","gas","Municipal",NA
"TX","City of Goldsmith - (TX)","electric","Municipal",NA
"IN","Roachdale Municipal Gas Utility - IN","gas","Municipal",NA
"KY","Burkesville Gas Co - KY","gas","Investor Owned","Summit"
"KS","Argonia City of - KS","gas","Municipal",NA
"WY","Frannie Deaver Utilities - WY","gas","Investor Owned",NA
"LA","Iota Town of - LA","gas","Municipal",NA
"LA","Simmesport Town of - LA","gas","Municipal",NA
"IN","Bainbridge Municipal Gas Utility - IN","gas","Municipal",NA
"IL","Enfield Municipal Gas System - IL","gas","Municipal",NA
"TX","Marietta City of - TX","gas","Municipal",NA
"MO","Richland City of - MO","gas","Municipal",NA
"GA","Fort Gaines City of - GA","gas","Municipal",NA
"AL","Stevenson Util BD - AL","gas","Municipal",NA
"TX","Rankin City of - TX","gas","Municipal",NA
"KY","Wheelwright Util Comm - KY","gas","Municipal",NA
"OK","Cashion Pub Wks Auth - OK","gas","Municipal",NA
"MO","Liberal Municipal Natural Gas System - MO","gas","Municipal",NA
"MN","Clearbrook Municipal Gas City of - MN","gas","Municipal",NA
"KS","Little River City of - KS","gas","Municipal",NA
"LA","Logansport Town of - LA","gas","Municipal",NA
"TX","Cushing City of - TX","gas","Municipal",NA
"KY","Barlow Mun Gas Co - KY","gas","Municipal",NA
"GA","Bowman City of - GA","gas","Municipal",NA
"TX","Hemphill City of - TX","gas","Municipal",NA
"TX","City of Spur - TX","gas","Municipal",NA
"KS","Mulberry Municipal Natural Gas Sys - KS","gas","Municipal",NA
"MO","Wheaton City of - MO","gas","Municipal",NA
"TX","George West City of - TX","gas","Municipal",NA
"TN","Englewood Utilities - TN","gas","Municipal",NA
"TX","Chester Gas Sys - TX","gas","Municipal",NA
"IA","Gilmore City Municipal Gas System - IA","gas","Municipal",NA
"AL","Cordova Wtr Wks And Gas BD - AL","gas","Municipal",NA
"TX","Pineland City of - TX","gas","Municipal",NA
"IA","Rolfe Municipal Gas - IA","gas","Municipal",NA
"TX","Woodsboro Natural Gas - TX","gas","Municipal",NA
"LA","St Joseph Mun Nat Gas - LA","gas","Municipal",NA
"LA","Village of Elizabeth - LA","gas","Municipal",NA
"IL","Equality Municipal Gas - IL","gas","Municipal",NA
"KY","Sentra Resources - KY","gas","Investor Owned",NA
"FL","Town of Jay - FL","gas","Municipal",NA
"TX","City of Cross Plains - TX","gas","Municipal",NA
"AL","Florala Gas Department - AL","gas","Municipal",NA
"LA","Basile Town of - LA","gas","Municipal",NA
"TX","Kountze City of - TX","gas","Municipal",NA
"MN","City of Round Lake - (MN)","electric","Municipal",NA
"PA","Sar Gas - PA","gas","Investor Owned",NA
"AL","Brookside Gas System - AL","gas","Municipal",NA
"MS","Gloster Town of - MS","gas","Municipal",NA
"MO","Madison City of - MO","gas","Municipal",NA
"OK","Covington Town of - OK","gas","Municipal",NA
"MO","New Florence Municipal Gas - MO","gas","Municipal",NA
"KY","Ferguson City of - KY","gas","Municipal",NA
"IN","Chrisney Municipal Gas Dept - IN","gas","Municipal",NA
"MN","Round Lake City of - MN","gas","Municipal",NA
"MO","Green City Municipal Natural Gas Sys - MO","gas","Municipal",NA
"IA","Moulton Mun Gas Sys - IA","gas","Municipal",NA
"MT","Saco Municipal Gas Svc - MT","gas","Municipal",NA
"IL","City of Grand Tower - IL","gas","Municipal",NA
"TX","Brackettville City of - TX","gas","Municipal",NA
"IA","Allerton Gas Co - IA","gas","Investor Owned",NA
"LA","Vernon Parish Gud 1 - LA","gas","Municipal",NA
"TX","Whiteface City of - TX","gas","Municipal",NA
"LA","Krotz Springs City of - LA","gas","Municipal",NA
"MS","Liberty Town of - MS","gas","Municipal",NA
"LA","Columbia Town of - LA","gas","Municipal",NA
"KS","Denison City of - KS","gas","Municipal",NA
"KY","Paris - KY","gas","Municipal",NA
"KY","White Plains Natural Gas - KY","gas","Municipal",NA
"NY","Rochester Gas And Elec Corp - NY","gas","Investor Owned","Avangrid"
"KS","Uniontown City of - KS","gas","Municipal",NA
"LA","Provencal Village of - LA","gas","Municipal",NA
"TN","Gallaway City of - TN","gas","Municipal",NA
"KS","Sharon City of - KS","gas","Municipal",NA
"KS","Cassoday City of - KS","gas","Municipal",NA
"KS","Mcfarland City of - KS","gas","Municipal",NA
"KS","Sylvia Town of - KS","gas","Municipal",NA
"KS","Winona Gas - KS","gas","Municipal","Midwest Energy, Inc. is the operator"
"IA","Clearfield Nat Gas Co - IA","gas","Municipal",NA
"GA","Richland City of - GA","gas","Municipal",NA
"OK","Wakita Utilities Authority - OK","gas","Municipal",NA
"KY","Guthrie Natural Gas - KY","gas","Municipal",NA
"KS","Partridge City of - KS","gas","Municipal",NA
"TX","Goldsmith City of - TX","gas","Municipal",NA
"GA","Colquitt Gas Sys City of - GA","gas","Municipal",NA
"TX","D & H Gas Co - TX","gas","Investor Owned",NA
"IA","Prescott Mun Nat Gas Co - IA","gas","Municipal",NA
"LA","Sicily Island Gas Co - LA","gas","Municipal",NA
"OK","Freedom Municipal Trust Authority - OK","gas","Municipal",NA
"AL","Rockford Town of - AL","gas","Municipal",NA
"KS","City of Hardtner - KS","gas","Municipal",NA
"MO","Mercer Municipal Natural Gas System - MO","gas","Municipal",NA
"NM","Corona Village of - NM","gas","Municipal",NA
"TX","Daisetta City of - TX","gas","Municipal",NA
"IA","Lineville Mun Nat Gas System - IA","gas","Municipal",NA
"OK","Hardesty Town of - OK","gas","Municipal",NA
"OR","Umpqua Indian Utility Cooperative","electric","Cooperative",NA
"KS","Sawyer City of - KS","gas","Municipal",NA
"OK","Greenlight Gas - TX","gas","Investor Owned",NA
"GA","Andersonville City of - GA","gas","Municipal",NA
"OK","Slick Town of - OK","gas","Municipal",NA
"IA","City of Orange City - (IA)","electric","Municipal",NA
"OK","Wann Public Works Authority - OK","gas","Municipal",NA
"OK","Willow Town of - OK","gas","Municipal",NA
"KS","Abbyville City of - KS","gas","Municipal",NA
"IA","Orange City Municipal Utilities - IA","gas","Municipal",NA
"KY","Millennium Energy Inc - KY","gas","Investor Owned","Atmos"
"KY","Western Lewis Rectorville Gas Dist - KY","gas","Political Subdivision",NA
"IA","Manilla City of - IA","gas","Municipal",NA
"IA","Town of Manilla - (IA)","electric","Municipal",NA
"WV","Standard Gas Co - WV","gas","Investor Owned","Hope Gas"
